Price,AdjClose
Ticker,CC=F
Date,
2000-01-03,830.0
2000-01-04,836.0
2000-01-05,831.0
2000-01-06,841.0
2000-01-07,853.0
2000-01-10,839.0
2000-01-11,846.0
2000-01-12,854.0
2000-01-13,871.0
2000-01-14,850.0
2000-01-18,828.0
2000-01-19,844.0
2000-01-20,853.0
2000-01-21,861.0
2000-01-24,844.0
2000-01-25,838.0
2000-01-26,846.0
2000-01-27,823.0
2000-01-28,811.0
2000-01-31,795.0
2000-02-01,763.0
2000-02-02,766.0
2000-02-03,774.0
2000-02-04,765.0
2000-02-07,783.0
2000-02-08,767.0
2000-02-09,784.0
2000-02-10,776.0
2000-02-11,759.0
2000-02-14,740.0
2000-02-15,748.0
2000-02-16,764.0
2000-02-17,781.0
2000-02-18,780.0
2000-02-22,760.0
2000-02-23,769.0
2000-02-24,767.0
2000-02-25,734.0
2000-02-28,740.0
2000-02-29,753.0
2000-03-01,759.0
2000-03-02,791.0
2000-03-03,805.0
2000-03-06,802.0
2000-03-07,819.0
2000-03-08,829.0
2000-03-09,819.0
2000-03-10,840.0
2000-03-13,860.0
2000-03-14,880.0
2000-03-15,846.0
2000-03-16,878.0
2000-03-17,898.0
2000-03-20,857.0
2000-03-21,868.0
2000-03-22,871.0
2000-03-23,876.0
2000-03-24,840.0
2000-03-27,797.0
2000-03-28,815.0
2000-03-29,796.0
2000-03-30,794.0
2000-03-31,800.0
2000-04-03,784.0
2000-04-04,809.0
2000-04-05,811.0
2000-04-06,825.0
2000-04-07,810.0
2000-04-10,807.0
2000-04-11,803.0
2000-04-12,802.0
2000-04-13,815.0
2000-04-14,807.0
2000-04-17,824.0
2000-04-18,837.0
2000-04-19,813.0
2000-04-20,803.0
2000-04-24,764.0
2000-04-25,769.0
2000-04-26,765.0
2000-04-27,755.0
2000-04-28,747.0
2000-05-01,764.0
2000-05-02,763.0
2000-05-03,772.0
2000-05-04,772.0
2000-05-05,771.0
2000-05-08,748.0
2000-05-09,769.0
2000-05-10,765.0
2000-05-11,796.0
2000-05-12,778.0
2000-05-15,783.0
2000-05-16,837.0
2000-05-17,821.0
2000-05-18,829.0
2000-05-19,857.0
2000-05-22,840.0
2000-05-23,834.0
2000-05-24,850.0
2000-05-25,831.0
2000-05-26,835.0
2000-05-30,830.0
2000-05-31,842.0
2000-06-01,848.0
2000-06-02,848.0
2000-06-05,831.0
2000-06-06,832.0
2000-06-07,817.0
2000-06-08,869.0
2000-06-09,849.0
2000-06-12,850.0
2000-06-13,846.0
2000-06-14,849.0
2000-06-15,849.0
2000-06-16,849.0
2000-06-19,837.0
2000-06-20,834.0
2000-06-21,855.0
2000-06-22,903.0
2000-06-23,825.0
2000-06-26,800.0
2000-06-27,808.0
2000-06-28,812.0
2000-06-29,813.0
2000-06-30,820.0
