date,tsmom
1985-01-31,0.043456226781221075
1985-02-28,0.03765215356737468
1985-03-29,-0.05196998546310775
1985-04-30,0.03941048973341262
1985-05-31,0.06454395827374501
1985-06-28,0.01304467900760237
1985-07-31,-0.02981619823377091
1985-08-30,0.060064939174258626
1985-09-30,0.01340135792923358
1985-10-31,0.010463696559356035
1985-11-29,0.04717054427337577
1985-12-31,0.016517745244068578
1986-01-31,-0.025994003356729176
1986-02-28,0.08347645141357125
1986-03-31,0.08578082261719819
1986-04-30,0.0054216117123398215
1986-05-30,-0.043171227771832875
1986-06-30,0.03684569296454073
1986-07-31,0.04413535318158159
1986-08-29,0.023895583799044197
1986-09-30,-0.04079835507643564
1986-10-31,-0.01212162407460912
1986-11-28,0.037985842051973626
1986-12-31,-0.0031991054093356316
1987-01-30,0.06504340233865377
1987-02-27,0.03963961457335937
1987-03-31,0.03636196407511322
1987-04-30,-0.007545980163506987
1987-05-29,0.01670510121994715
1987-06-30,-0.0007456856473660918
1987-07-31,0.04090986071133506
1987-08-31,0.010335099787781694
1987-09-30,0.03973976429226685
1987-10-30,-0.10476669973344238
1987-11-30,0.04530743748000572
1987-12-31,0.01931651308531863
1988-01-29,-0.0014019260517299345
1988-02-29,0.005699625230105755
1988-03-31,0.04160840339936713
1988-04-29,0.00208100873027547
1988-05-31,0.03404355493229307
1988-06-30,-0.013845754111843132
1988-07-29,-0.017427499454214058
1988-08-31,0.013678066669842219
1988-09-30,0.02146736159764038
1988-10-31,0.00561130107131572
1988-11-30,2.8183490214752105e-06
1988-12-30,0.004343786615692014
1989-01-31,0.06326224940850146
1989-02-28,-0.05051990462745483
1989-03-31,0.06014872754194759
1989-04-28,0.01250811586508829
1989-05-31,0.022519250361016013
1989-06-30,-0.003940165648007594
1989-07-31,0.04243985041039274
1989-08-31,0.032991590302363184
1989-09-29,0.012356071245912165
1989-10-31,-0.02286334558975139
1989-11-30,0.02384427127315574
1989-12-29,0.05801852231135131
1990-01-31,-0.005223290761440466
1990-02-28,0.008065664014458221
1990-03-30,0.04525255251699139
