date,usa_bab
1930-12-01,-0.00113726020336
1930-12-02,-0.00767530191583
1930-12-03,-0.000699870125075
1930-12-04,0.0145886098323
1930-12-05,0.00729305781382
1930-12-06,-0.0050713172731
1930-12-08,0.00896784944009
1930-12-09,-0.00584710155335
1930-12-10,0.00281943824406
1930-12-11,-0.00332613150373
1930-12-12,-0.000385068155756
1930-12-13,0.00036521279117
1930-12-15,0.00304488841786
1930-12-16,0.00244681454473
1930-12-17,-0.0209696066663
1930-12-18,-0.00865004059578
1930-12-19,3.99862787729e-05
1930-12-20,-0.0066653508689
1930-12-22,0.00261383326602
1930-12-23,0.0120945651305
1930-12-24,-0.00592506600063
1930-12-26,0.0199401138597
1930-12-27,5.37844006417e-05
1930-12-29,0.00368073355144
1930-12-30,-0.0105182724939
1930-12-31,-0.00457021861422
1931-01-02,-0.0215749024786
1931-01-03,-0.016467263817
1931-01-05,0.00617573502662
1931-01-06,-0.00798376937958
1931-01-07,0.0179171286538
1931-01-08,-0.00719369754444
1931-01-09,-0.000155281155094
1931-01-10,0.0101729119891
1931-01-12,-0.0124095093591
1931-01-13,-0.000430857012004
1931-01-14,0.00715190407102
1931-01-15,-0.0099721148619
1931-01-16,0.00213802130326
1931-01-17,0.00972345194878
1931-01-19,0.000124972627655
1931-01-20,-0.00280056452107
1931-01-21,-0.000286458096518
1931-01-22,-0.00799836050785
1931-01-23,-0.00196114348091
1931-01-24,0.00885206206601
1931-01-26,0.00192291248215
1931-01-27,0.00531083753976
1931-01-28,-0.00097177398227
1931-01-29,-0.00529734532515
1931-01-30,0.00167532722593
1931-01-31,0.00605630301254
1931-02-02,-0.00984832492768
1931-02-03,0.0112385194557
1931-02-04,-0.00936615974602
1931-02-05,0.00608406837979
1931-02-06,-0.0026718267897
1931-02-07,0.00176008311179
1931-02-09,0.00494901735965
1931-02-10,-0.00579287772523
1931-02-11,-0.0120145504625
1931-02-13,-0.00183001678357
1931-02-14,0.0050010217568
1931-02-16,-0.00901662137919
1931-02-17,-0.00070154345014
1931-02-18,0.00350403626146
1931-02-19,-0.0120264004763
1931-02-20,-0.025975374946
1931-02-21,-0.0129397521355
1931-02-24,-0.00754461023896
1931-02-25,0.00398278471108
1931-02-26,-0.00438820102072
1931-02-27,-0.00263756791674
1931-02-28,0.00622978710378
1931-03-02,0.00164287889584
1931-03-03,-0.00165464941534
1931-03-04,0.000164421860516
1931-03-05,-0.00395482520528
1931-03-06,-0.000935338304434
1931-03-07,0.00415628446491
1931-03-09,-0.00439834626946
1931-03-10,0.000297566447859
1931-03-11,0.00469594463049
1931-03-12,0.0035755662776
1931-03-13,0.0117275342623
1931-03-14,-0.00273515428818
1931-03-16,-0.0102153813933
1931-03-17,-0.000887012383375
1931-03-18,-0.0019149956804
1931-03-19,-0.0106956269184
1931-03-20,0.00893485138655
1931-03-21,0.000635242248001
1931-03-23,0.0007345091695
1931-03-24,0.00629509869336
1931-03-25,-0.00571944081322
1931-03-26,-0.00200230431074
1931-03-27,0.0115786186547
1931-03-28,0.000893561327438
1931-03-30,0.0103396679305
1931-03-31,0.00552701419276
1931-04-01,-0.00915807232469
1931-04-02,-0.00207292808138
1931-04-04,-0.000876003784754
1931-04-06,-0.00819380334275
1931-04-07,0.0177120463463
1931-04-08,0.00134802729317
1931-04-09,-0.0012221866395
1931-04-10,-0.00297300621242
1931-04-11,-0.00151927683725
1931-04-13,-0.00661977521801
1931-04-14,0.00747679823968
1931-04-15,-0.00565183882175
1931-04-16,0.0155783175501
1931-04-17,0.00447240010254
1931-04-18,0.00332339996508
1931-04-20,-0.00553858780716
1931-04-21,0.00581748537211
1931-04-22,0.000817857050113
1931-04-23,-0.00884690842537
1931-04-24,0.00370076606015
1931-04-25,0.00175474905874
1931-04-27,-0.00391547896297
1931-04-28,0.00597153906376
1931-04-29,-0.0102541316229
1931-04-30,-0.0149103923858
1931-05-01,0.00167794059146
1931-05-02,-0.0040408123698
1931-05-04,0.0096875063376
1931-05-05,-0.00810976042124
1931-05-06,0.000975448299857
1931-05-07,0.0100509054354
1931-05-08,-0.0127793869177
1931-05-09,-0.00433431796879
1931-05-11,0.00343089230404
1931-05-12,0.00657686157398
1931-05-13,-0.00251352488028
1931-05-14,0.00202594939149
1931-05-15,-0.00332781326087
1931-05-16,-0.00161191167386
1931-05-18,-0.00242709787296
1931-05-19,0.00624416525706
1931-05-20,-0.0088602700667
1931-05-21,0.00174205270453
1931-05-22,0.00661511942201
1931-05-23,-0.00470221383621
1931-05-25,0.00346076077222
1931-05-26,-0.00849782388505
1931-05-27,0.00674629008199
1931-05-28,-0.00254189360847
1931-05-29,0.00191773570625
1931-06-01,0.0042871549229
1931-06-02,-0.00195099550993
1931-06-03,-0.00223661216993
1931-06-04,-0.00347569842214
1931-06-05,-0.00636157735705
1931-06-06,0.00482571365901
1931-06-08,-0.00889911009939
1931-06-09,0.00122333666062
1931-06-10,0.00489473102838
1931-06-11,-0.00458684894514
1931-06-12,0.00586165458006
1931-06-13,-0.00173441904078
1931-06-15,-0.00882873056806
1931-06-16,-0.00272481126912
1931-06-17,0.00777098005105
1931-06-18,0.00242169252367
1931-06-19,0.000709748614104
1931-06-20,-0.00594537714079
1931-06-22,-0.0108714386771
1931-06-23,-0.0112608442963
1931-06-24,-0.0326828012471
1931-06-25,-0.000891441642526
1931-06-26,-0.0328182357534
1931-06-27,-0.0130208870866
1931-06-29,0.0156607517202
1931-06-30,0.0128937183634
1931-07-01,-0.00877162488633
1931-07-02,0.00480581853039
1931-07-03,-0.0108160865689
1931-07-06,0.0153939125129
1931-07-07,0.0185192886454
1931-07-08,0.00691008527053
1931-07-09,-0.000541269949911
1931-07-10,-0.01213556171
1931-07-11,0.0047258387925
1931-07-13,0.00994433133325
1931-07-14,0.00330137298986
1931-07-15,0.00469341183873
1931-07-16,-0.00554253501904
1931-07-17,-0.00504664594092
1931-07-18,-0.00371672119033
1931-07-20,-0.00175577659818
1931-07-21,-0.00850371070787
1931-07-22,0.0048863051736
1931-07-23,0.00509341640777
1931-07-24,0.0046579469509
1931-07-25,-0.00163337719257
1931-07-27,-0.00385664791965
1931-07-28,-0.00351413073017
1931-07-29,0.0057849326367
1931-07-30,-0.00630786959016
1931-07-31,-0.00217223752905
1931-08-01,0.00151674139131
1931-08-03,0.0108319763771
1931-08-04,-0.0140737058327
1931-08-05,0.013210508365
1931-08-06,-0.0093114163488
1931-08-07,0.00128666501798
1931-08-08,0.0046314390961
1931-08-10,0.0050337840148
1931-08-11,-0.00410248225605
1931-08-12,-0.00226471219229
1931-08-13,-0.00319508087183
1931-08-14,-0.00146459194213
1931-08-15,-0.00311637172654
1931-08-17,0.00527686236273
1931-08-18,-0.00177462846827
1931-08-19,-0.0031295607733
1931-08-20,-0.00529977840016
1931-08-21,0.0146951357663
1931-08-22,0.00375107832623
1931-08-24,-0.0030007460787
1931-08-25,-0.00227648517472
1931-08-26,0.00576567218482
1931-08-27,-0.007422159721
1931-08-28,1.03220645937e-05
1931-08-29,-0.0020354937138
1931-08-31,0.0057157495523
1931-09-01,0.000773022341062
1931-09-02,0.00325387555959
1931-09-03,0.00205656315377
1931-09-04,0.00674854638517
1931-09-08,0.00326597217999
1931-09-09,-0.00304735715136
1931-09-10,0.00397695423483
1931-09-11,-0.00617218063249
1931-09-12,0.00104150094657
1931-09-14,-0.00563703549347
1931-09-15,0.00744637489441
1931-09-16,-0.00134269785324
1931-09-17,0.00842428485207
1931-09-18,-0.0187212512651
1931-09-19,0.00236994155398
1931-09-21,-0.0130639553973
1931-09-22,-0.0047177112757
1931-09-23,-0.00278599232388
1931-09-24,-0.0160627350322
1931-09-25,-0.0083900446354
1931-09-26,0.000736271591284
1931-09-28,0.00408655792637
1931-09-29,-0.00860327237302
1931-09-30,-0.00394327054773
1931-10-01,-0.0107658742378
1931-10-02,-0.017089807329
1931-10-03,-0.00125290305553
1931-10-05,-0.013748883965
1931-10-06,-0.00515840406336
1931-10-07,-0.0183914939775
1931-10-08,-0.0171029652784
1931-10-09,-0.00225404788474
1931-10-10,-0.00284731260914
1931-10-13,0.00339122763487
1931-10-14,0.017486032345
1931-10-15,-0.00048890167493
1931-10-16,0.000944713042656
1931-10-17,0.00465307051418
1931-10-19,0.00085432187014
1931-10-20,-0.00753152529637
1931-10-21,0.00412508203588
1931-10-22,0.0113453805826
1931-10-23,-0.0159202159708
1931-10-24,-0.00340013587318
1931-10-26,0.0099516672227
1931-10-27,0.00216727247452
1931-10-28,0.00208909904917
1931-10-29,0.00100959372656
1931-10-30,-0.00147392614574
1931-10-31,0.00522430047713
1931-11-02,-0.00567843107316
1931-11-04,-0.00688190161218
1931-11-05,0.00420598749474
1931-11-06,-0.0135700610326
1931-11-07,-0.0146023279126
1931-11-09,-0.000989583198244
1931-11-10,0.0142064074455
1931-11-11,0.0113305664981
1931-11-12,-0.00196769548701
1931-11-13,0.0134502684721
1931-11-14,0.00544560389073
1931-11-16,-0.0119874062155
1931-11-17,-0.00540755078728
1931-11-18,0.0145848938422
1931-11-19,0.00134908422888
1931-11-20,0.00153954964424
1931-11-21,0.00819955506062
1931-11-23,0.0106374298986
1931-11-24,-0.00679086322544
1931-11-25,0.00305074592124
1931-11-27,0.000554818418841
1931-11-28,-0.0116227528878
1931-11-30,-0.00156580594969
1931-12-01,0.0163331730576
1931-12-02,0.0205804044344
1931-12-03,-0.00790477264054
1931-12-04,0.00440912474715
1931-12-05,0.00657546666477
1931-12-07,-0.0134227012182
1931-12-08,0.0034454889358
1931-12-09,-0.00785441719607
1931-12-10,-0.00367051083548
1931-12-11,-0.00695184481526
1931-12-12,-0.00438167467883
1931-12-14,-0.00530259699866
1931-12-15,-0.0184211224837
1931-12-16,-0.00736760148346
1931-12-17,-0.0149605638258
1931-12-18,-0.0247277898158
1931-12-19,0.0198355625191
1931-12-21,-0.00227533927091
1931-12-22,0.006416706129
1931-12-23,0.0028572922796
1931-12-24,0.00735014489749
1931-12-28,0.00967107769339
1931-12-29,-0.00791499876022
1931-12-30,-0.00319088188261
1931-12-31,-0.000604007974376
1932-01-02,-0.00147482092359
1932-01-04,-0.000864957118645
1932-01-05,-0.00934412933624
1932-01-06,-0.00631403910165
1932-01-07,-0.0321910407516
1932-01-08,-0.000509727069998
1932-01-09,-0.00284207250077
1932-01-11,-0.0203085493444
1932-01-12,0.00890594508025
1932-01-13,-0.00589077731046
1932-01-14,-0.0178407500858
1932-01-15,-0.000806571165625
1932-01-16,0.0141110224963
1932-01-18,0.000366576546639
1932-01-19,0.00941435031757
1932-01-20,-0.00720385008456
1932-01-21,-0.0216908806426
1932-01-22,0.0208242709952
1932-01-23,0.013924585341
1932-01-25,-0.0193707791023
1932-01-26,-0.00497210493006
1932-01-27,0.0106026579838
1932-01-28,0.0346121277094
1932-01-29,-0.0236444346492
1932-01-30,0.0347967867286
