Date,AdjClose
2006-06-30,2.8128
2006-07-31,2.8582
2006-08-31,3.0842
2006-09-29,3.1373
2006-10-31,3.8685
2006-11-30,5.0782
2006-12-29,4.7725
2007-01-31,4.4933
2007-02-27,4.5598
2007-03-30,4.9453
2007-04-30,5.4106
2007-05-31,6.1019
2007-06-29,7.0457
2007-07-31,8.5273
2007-08-31,11.2822
2007-09-28,12.7253
2007-10-31,15.5969
2007-11-30,11.151
2007-12-31,11.2822
2008-01-31,8.2503
2008-02-29,10.087
2008-03-31,12.3317
2008-04-30,12.5212
2008-05-30,11.1073
2008-06-30,8.9354
2008-07-31,10.4368
2008-08-29,10.9618
2008-09-30,7.8618
2008-10-31,5.9123
2008-11-28,4.602
2008-12-31,5.0015
2009-01-21,5.6407
2009-02-27,6.184
2009-03-31,7.0149
2009-04-30,8.7726
2009-05-27,11.0257
2009-06-30,10.4025
2009-07-31,13.4004
2009-08-31,14.132
2009-09-30,15.1295
2009-10-30,15.1295
2009-11-30,15.1628
2009-12-31,18.5212
2010-01-04,18.1887
2010-01-05,17.9892
2010-01-06,17.9559
2010-01-07,17.8229
2010-01-08,17.6899
2010-01-11,17.8894
2010-01-12,17.9892
2010-01-13,18.1222
2010-01-14,18.6875
2010-01-15,18.6875
2010-01-18,18.887
2010-01-19,18.5212
2010-01-20,18.2884
2010-01-21,17.9559
2010-01-22,17.4904
2010-01-25,16.9916
2010-01-26,16.2933
2010-01-27,16.5594
2010-01-28,17.2909
2010-01-29,16.5594
2010-02-01,16.6591
2010-02-02,16.6924
2010-02-03,16.7256
2010-02-04,16.6591
2010-02-05,15.5119
2010-02-08,15.5618
2010-02-09,16.1936
2010-02-10,16.7921
2010-02-22,17.3906
2010-02-23,18.2552
2010-02-24,17.7232
2010-02-25,17.4904
2010-02-26,17.1911
2010-03-01,18.1554
2010-03-02,18.1222
2010-03-03,17.8229
2010-03-04,17.2576
2010-03-05,17.2244
2010-03-08,17.5237
2010-03-09,17.9559
2010-03-10,17.6899
2010-03-11,17.4571
2010-03-12,17.3906
2010-03-15,17.2909
2010-03-16,17.6234
2010-03-17,17.7897
2010-03-18,17.5902
2010-03-19,17.6899
2010-03-22,17.7897
2010-03-23,17.2576
2010-03-24,17.3574
2010-03-25,17.1579
2010-03-26,17.0581
2010-03-29,17.3574
2010-03-30,17.4571
2010-03-31,17.2576
2010-04-01,18.0889
2010-04-02,17.9892
2010-04-06,17.9559
2010-04-07,18.3882
2010-04-08,18.3882
2010-04-09,19.6518
2010-04-12,19.6518
2010-04-13,19.6185
2010-04-14,20.0175
2010-04-15,21.4141
2010-04-16,20.8156
2010-04-19,19.7848
2010-04-20,21.1481
2010-04-21,21.2811
2010-04-22,20.8821
2010-04-23,21.1148
2010-04-26,22.3451
2010-04-27,22.1789
2010-04-28,22.6112
2010-04-29,22.6112
2010-04-30,21.6136
2010-05-03,21.5471
2010-05-04,21.1481
2010-05-05,20.4166
2010-05-06,19.8513
2010-05-07,20.217
2010-05-10,21.0483
2010-05-11,20.4498
2010-05-12,19.951
2010-05-13,20.2503
2010-05-14,20.5163
2010-05-17,19.4855
2010-05-18,19.6518
2010-05-19,19.9843
2010-05-20,18.9535
2010-05-21,18.2552
2010-05-24,19.5188
2010-05-25,18.7872
2010-05-26,19.951
2010-05-27,20.084
2010-05-28,20.5496
2010-05-31,20.6826
2010-06-01,20.6826
2010-06-02,20.5828
2010-06-03,20.8488
2010-06-04,20.2835
2010-06-07,19.7515
2010-06-08,20.7491
2010-06-09,20.084
2010-06-10,20.3168
2010-06-11,20.7823
2010-06-14,20.5828
2010-06-15,20.9818
2010-06-17,20.9486
2010-06-18,20.6826
2010-06-21,21.6469
2010-06-22,21.6136
2010-06-23,21.6801
2010-06-24,21.5139
2010-06-25,20.7823
2010-06-28,20.8821
2010-06-29,20.6161
2010-06-30,19.951
2010-07-01,19.951
2010-07-02,19.8845
2010-07-05,20.0508
2010-07-06,20.6493
2010-07-07,20.3168
2010-07-08,20.4498
2010-07-09,20.9486
2010-07-12,21.4141
2010-07-13,21.3144
2010-07-14,21.1148
2010-07-15,21.4141
2010-07-16,21.2146
2010-07-19,21.2479
2010-07-20,21.5139
2010-07-21,21.3144
2010-07-22,21.2811
2010-07-23,21.3476
2010-07-26,21.4141
2010-07-27,21.5471
2010-07-28,22.0459
2010-07-29,22.3119
2010-07-30,21.9794
2010-08-02,22.5447
2010-08-03,22.8772
2010-08-04,23.4425
2010-08-05,23.376
2010-08-06,23.908
2010-08-09,24.1407
2010-08-10,24.8723
2010-08-11,24.4068
2010-08-12,24.8048
2010-08-13,25.2081
2010-08-16,25.4098
2010-08-17,25.4501
2010-08-18,25.2887
2010-08-19,25.0468
2010-08-20,25.2887
2010-08-23,25.0064
2010-08-24,24.8451
2010-08-25,24.0384
2010-08-26,23.6351
2010-08-27,23.3124
2010-08-30,24.6434
2010-08-31,23.9578
2010-09-01,24.0788
2010-09-02,24.0788
2010-09-03,25.0064
2010-09-06,25.6921
2010-09-07,25.0468
2010-09-08,25.0064
2010-09-09,25.0064
2010-09-10,25.0064
2010-09-13,25.2081
2010-09-14,25.0468
2010-09-15,25.4098
2010-09-16,25.3694
2010-09-17,25.5307
2010-09-20,26.6197
2010-09-21,26.0954
2010-09-23,26.2164
2010-09-24,25.8534
2010-09-27,25.6517
2010-09-28,25.2484
2010-09-29,24.8048
2010-09-30,25.0064
2010-10-01,25.0064
2010-10-04,25.0064
2010-10-05,24.6031
2010-10-06,24.7644
2010-10-07,24.9661
2010-10-08,24.6838
2010-10-11,25.0468
2010-10-12,24.8048
2010-10-13,24.6434
2010-10-14,24.7644
2010-10-15,24.4418
2010-10-18,24.1191
2010-10-19,23.9981
2010-10-20,23.6754
2010-10-21,23.1914
2010-10-22,23.1914
2010-10-25,23.3931
2010-10-26,23.6754
2010-10-27,23.4334
2010-10-28,23.9578
2010-10-29,22.9494
2010-11-01,21.9411
2010-11-02,20.8521
2010-11-03,20.8521
2010-11-04,21.4168
2010-11-05,22.1025
2010-11-08,21.2555
2010-11-09,21.9411
2010-11-10,22.8284
2010-11-11,22.5864
2010-11-12,22.5058
2010-11-15,21.7395
2010-11-16,21.5781
2010-11-17,21.1748
2010-11-18,20.8118
2010-11-19,20.8925
2010-11-22,21.6991
2010-11-23,21.3765
2010-11-24,21.2151
2010-11-25,21.1748
2010-11-26,21.2555
2010-11-29,22.2235
2010-11-30,22.8688
2010-12-01,22.7478
2010-12-02,22.7074
2010-12-03,23.1108
2010-12-06,23.0301
2010-12-07,22.9898
2010-12-08,22.9898
2010-12-09,23.1511
2010-12-10,23.1914
2010-12-13,23.2721
2010-12-14,23.5948
2010-12-15,23.7158
2010-12-16,23.3124
2010-12-17,22.9091
2010-12-20,22.8284
2010-12-21,23.1108
2010-12-22,23.3528
2010-12-23,23.4738
2010-12-24,23.4334
2010-12-27,23.3931
2010-12-28,23.5544
2010-12-29,23.2721
2010-12-30,23.1108
2010-12-31,22.7074
2011-01-03,23.0301
2011-01-04,23.3931
2011-01-05,22.9091
2011-01-06,22.9494
2011-01-07,23.0704
2011-01-10,22.9898
2011-01-11,23.1108
2011-01-12,23.2318
2011-01-13,23.2318
2011-01-14,23.0301
2011-01-17,22.7478
2011-01-18,22.8284
2011-01-19,23.3931
2011-01-20,23.4334
2011-01-21,23.6351
2011-01-24,23.3931
2011-01-25,23.1108
2011-01-26,23.0301
2011-01-27,23.0704
2011-01-28,23.0704
2011-02-08,23.3124
2011-02-09,23.5544
2011-02-10,23.3931
2011-02-11,22.8284
2011-02-14,21.7395
2011-02-15,21.7395
2011-02-16,21.3765
2011-02-17,21.2151
2011-02-18,21.4571
2011-02-21,21.3765
2011-02-22,20.9328
2011-02-23,20.2068
2011-02-24,20.4488
2011-02-25,20.5698
2011-03-01,20.8521
2011-03-02,20.2875
2011-03-03,20.2471
2011-03-04,20.6908
2011-03-07,20.7715
2011-03-08,20.7715
2011-03-09,21.2555
2011-03-10,20.6505
2011-03-11,20.4085
2011-03-14,19.1178
2011-03-15,17.9885
2011-03-16,18.2305
2011-03-17,18.3717
2011-03-18,19.0976
2011-03-21,19.6825
2011-03-22,19.6825
2011-03-23,20.2875
2011-03-24,20.2068
2011-03-25,20.0051
2011-03-28,19.5816
2011-03-29,19.2791
2011-03-30,19.5615
2011-03-31,19.9648
2011-04-01,20.7311
2011-04-06,20.7715
2011-04-07,21.0538
2011-04-08,21.1748
2011-04-11,21.3765
2011-04-12,21.0135
2011-04-13,20.9328
2011-04-14,21.1345
2011-04-15,20.6505
2011-04-18,20.8521
2011-04-19,20.4891
2011-04-20,20.8521
2011-04-21,21.0941
2011-04-22,21.0538
2011-04-25,21.0941
2011-04-26,21.2555
2011-04-27,21.6588
2011-04-28,21.6185
2011-04-29,21.3361
2011-05-03,21.3361
2011-05-04,22.0621
2011-05-05,22.0218
2011-05-06,22.2235
2011-05-09,22.2638
2011-05-10,21.7798
2011-05-11,21.6185
2011-05-12,21.3361
2011-05-13,21.2151
2011-05-16,21.3765
2011-05-17,21.3361
2011-05-18,21.6185
2011-05-19,21.2151
2011-05-20,20.7715
2011-05-23,19.9446
2011-05-24,19.8438
2011-05-25,19.7631
2011-05-26,19.9245
2011-05-27,20.2875
2011-05-30,20.6908
2011-05-31,21.4168
2011-06-01,21.1345
