,0
2006-06-30,6.142158314576158
2006-07-31,5.945516711284644
2006-08-31,6.2751805756263
2006-09-30,6.518090791456996
2006-10-31,6.639542965042495
2006-11-30,7.0001173957283225
2006-12-31,7.1804046110712365
2007-01-31,7.049851799960852
2007-02-28,7.1804046110712365
2007-03-31,7.0187677973155225
2007-04-30,7.074719002077114
2007-05-31,7.429076632233878
2007-06-30,8.081840687785807
2007-07-31,8.243477501541525
2007-08-31,7.640447850222122
2007-09-30,8.585401530640153
2007-10-31,9.048815550258892
2007-11-30,7.966051296381758
2007-12-31,7.920936119136877
2008-01-31,7.083082827446238
2008-02-29,7.843595815288509
2008-03-31,7.792035612722933
2008-04-30,8.236742359851041
2008-05-31,8.017611498947337
2008-06-30,7.0895278527669365
2008-07-31,6.7543865360906805
2008-08-31,6.915512169108113
2008-09-30,5.748962586061916
2008-10-31,4.991135222359241
2008-11-30,4.388756833453816
2008-12-31,4.489836200299624
2009-01-31,4.166109038915076
2009-02-28,4.5144230733161725
2009-03-31,5.004794596257324
2009-04-30,5.757426098041653
2009-05-31,6.556499471079464
2009-06-30,6.072957635087353
2009-07-31,6.6958250848399015
2009-08-31,6.617966653620834
2009-09-30,7.28044628767782
2009-10-31,7.188939041184401
2009-11-30,7.335083978130067
2009-12-31,7.857030181507444
2010-01-31,7.376839674400256
2010-02-28,7.175020475761003
2010-03-31,7.550821742192716
2010-04-30,7.627373852021397
2010-05-31,6.973201277121753
2010-06-30,6.896649167293069
2010-07-31,7.502106763210827
2010-08-31,7.418595370670447
2010-09-30,8.0310122492999
2010-10-31,8.106741271553856
2010-11-30,8.265980832245095
2010-12-31,8.888462751310835
2011-01-31,9.120083930498089
2011-02-28,8.613412601025972
2011-03-31,8.620650762875574
2011-04-30,8.975320693506054
2011-05-31,8.975320693506054
2011-06-30,8.519316496981151
2011-07-31,8.671317895822785
2011-08-31,7.896834577915409
2011-09-30,7.477021190638513
2011-10-31,7.841938536894905
2011-11-30,7.2229962615691
2011-12-31,7.482891925722896
2012-01-31,7.804381359994067
2012-02-29,8.412807625787636
2012-03-31,8.24755604742395
2012-04-30,7.819404230754401
2012-05-31,7.533969686308035
2012-06-30,7.541481121688203
2012-07-31,7.67668695853122
2012-08-31,7.924564326076746
2012-09-30,8.285113224324787
2012-10-31,7.8459141736912015
2012-11-30,8.3362838095469
2012-12-31,8.375202034614814
2013-01-31,8.499740354832136
2013-02-28,8.593144094995125
2013-03-31,8.577576804967961
2013-04-30,8.779951575321107
2013-05-31,8.865571670470516
2013-06-30,8.577576804967961
2013-07-31,8.811086155375436
2013-08-31,8.694331480171698
2013-09-30,8.896706250524844
2013-10-31,9.225632010710912
2013-11-30,9.169863941561536
2013-12-31,9.353101883052341
2014-01-31,9.17782974243164
2014-02-28,9.289366722106934
2014-03-31,9.576175689697266
2014-04-30,9.719578742980955
2014-05-31,10.054186820983888
2014-06-30,10.508296966552734
2014-07-31,10.635767936706545
