Price,Close,High,Low,Open,Volume
Ticker,4938.TW,4938.TW,4938.TW,4938.TW,4938.TW
Date,,,,,
2009-01-12,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-01-13,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-01-14,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-01-15,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-01-16,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-01-19,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-01-20,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-01-21,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-02-02,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-02-03,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-02-04,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-02-05,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-02-06,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-02-09,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-02-10,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-02-11,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-02-12,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-02-13,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-02-16,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-02-17,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-02-18,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-02-19,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-02-20,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-02-23,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
2009-02-24,99.99900817871094,99.99900817871094,99.99900817871094,99.99900817871094,0
