Price,Close,High,Low,Open,Volume
Ticker,IEF,IEF,IEF,IEF,IEF
Date,,,,,
2002-07-30,41.46977996826172,41.647286103717484,41.43427951502241,41.555998671207945,41300
2002-07-31,41.85012435913086,41.88055606879713,41.611766493832626,41.611766493832626,32600
2002-08-01,42.022560119628906,42.042846637432504,41.850126652927145,41.86027184645776,71400
2002-08-02,42.347164154052734,42.448592939651796,42.0428739279954,42.10372965165078,120300
2002-08-05,42.56014633178711,42.56014633178711,42.36235758709089,42.438431074110575,159300
2002-08-06,42.21529006958008,42.35222314231536,42.10878871815203,42.35222314231536,90100
2002-08-07,42.347164154052734,42.423237677882106,42.14430271359446,42.189948375596146,38100
2002-08-08,42.200077056884766,42.29643708280185,42.13921748221204,42.260936631557506,142600
2002-08-09,42.5145263671875,42.53988162969347,42.25587792636092,42.25587792636092,99600
2002-08-12,42.6007194519043,42.74272123099598,42.57536033309865,42.65143382025728,38100
2002-08-13,42.94050216674805,42.976002605064735,42.63113954602076,42.76299997516458,109300
2002-08-14,42.81371307373047,43.2245082698801,42.78328523299993,43.102789168443,146100
2002-08-15,42.56521987915039,42.768081225976594,42.47393246654152,42.6007203246506,60500
2002-08-16,42.28631591796875,42.73768071284982,42.23052891012851,42.72753937927032,55800
2002-08-19,42.32683181762695,42.35219092121356,42.15947102016968,42.35219092121356,41600
2002-08-20,42.71737289428711,42.71737289428711,42.448579346927374,42.49929759274625,56900
2002-08-21,42.61086654663086,42.62101174322991,42.44857822437534,42.48915127225392,37900
2002-08-22,42.382659912109375,42.49930648493644,42.3471594541637,42.49930648493644,43600
2002-08-23,42.57534408569336,42.60070319482158,42.42827363437152,42.45870146991993,26500
2002-08-26,42.59564208984375,42.70214341225003,42.53478640233037,42.56014164904166,27800
2002-08-27,42.468849182128906,42.56520916820683,42.38263438893149,42.473921778569164,38800
2002-08-28,42.62607955932617,42.686935255057854,42.60072043993238,42.64636221173115,40200
2002-08-29,42.82387161254883,42.8999412380817,42.7680846409856,42.88979991109687,101500
2002-08-30,42.905029296875,42.925315827413506,42.752886121726334,42.894887966235785,28900
2002-09-03,43.37320327758789,43.56149229316239,43.25615550143059,43.30195427303478,110700
2002-09-04,43.35790252685547,43.48512642380348,43.29683754116216,43.337550120001175,77300
2002-09-05,43.530948638916016,43.58692748937444,43.35283587953331,43.561481145505354,57900
2002-09-06,43.19507598876953,43.38336884069962,43.17471968997436,43.30194364551893,32200
2002-09-09,43.13401412963867,43.33248320419826,43.12892408392586,43.22561553963289,88800
2002-09-10,43.286651611328125,43.36298671570448,43.083096509744095,43.10853895615975,21400
2002-09-11,43.12889862060547,43.12889862060546,42.99658468816151,43.057653552958335,77500
2002-09-12,43.35285186767578,43.37320817376488,43.15438273651756,43.15438273651756,39900
2002-09-13,43.556373596191406,43.586909973076025,43.4037072420299,43.44950598350873,125900
2002-09-16,43.5716667175293,43.724333152248825,43.57166671752929,43.61746548317492,108700
2002-09-17,43.71413040161133,43.74466289350372,43.4596826156678,43.4596826156678,30400
2002-09-18,43.76506423950195,43.8770220017908,43.719265454512374,43.72435162002071,76400
2002-09-19,43.98385238647461,44.00420867893864,43.82609597308561,43.978762342717154,61100
2002-09-20,43.968589782714844,44.00930237101794,43.866808311957115,43.91770098861904,128600
2002-09-23,44.21798324584961,44.304494653825806,44.13147183787342,44.21289319756594,293700
2002-09-24,44.37571716308594,44.502941127294974,44.212870644201054,44.30447205373426,158200
2002-09-25,44.03986358642578,44.268865250456706,43.96861845172422,44.12128493355529,88900
2002-09-26,44.009334564208984,44.065309560864264,43.79559526054875,43.9329993759424,256100
2002-09-27,44.29937744140625,44.29937744140624,44.02457326521998,44.06019581310154,199400
2002-09-30,44.5589485168457,44.63019367182142,44.431724471164834,44.47752714654622,97200
2002-10-01,44.17001724243164,44.41500706606694,44.17001724243164,44.28230586744908,150100
2002-10-02,44.318031311035156,44.33334268742737,44.088348983023494,44.18532622556461,43000
2002-10-03,44.292484283447266,44.33842228024955,44.108740084319294,44.328212105831,37500
