,Close
1930-12-01,0.05893839009234161
1930-12-02,0.05887136180683948
1930-12-03,0.058419506330775924
1930-12-04,0.058378620263573384
1930-12-05,0.05923028317714666
1930-12-06,0.059662253056686515
1930-12-08,0.05935968684220808
1930-12-09,0.0598920155766199
1930-12-10,0.05954182087930858
1930-12-11,0.059709695366216675
1930-12-12,0.059511093067380984
1930-12-13,0.059488177240526505
1930-12-15,0.05950990308377813
1930-12-16,0.0596911040984259
1930-12-17,0.05983715716012492
1930-12-18,0.05858239551044753
1930-12-19,0.058075655411084115
1930-12-20,0.05807797764043131
1930-12-22,0.057690867541701704
1930-12-23,0.05784166185042775
1930-12-24,0.058541231596934105
1930-12-26,0.0581943709359641
1930-12-27,0.05935477331842084
1930-12-29,0.05935796567932899
1930-12-30,0.05957644653515012
1930-12-31,0.05894980523627514
1931-01-02,0.05868039173907967
1931-01-03,0.05741436800990298
1931-01-05,0.05646891046499758
1931-01-06,0.05681764749327134
1931-01-07,0.056364028498994787
1931-01-08,0.05737391004905772
1931-01-09,0.056961179493222894
1931-01-10,0.05695233449547567
1931-01-12,0.05753170558187193
1931-01-13,0.056817765343008704
1931-01-14,0.056793285010404274
1931-01-15,0.05719946513667678
1931-01-16,0.0566290655002946
1931-01-17,0.05675013964871793
1931-01-19,0.057301946904678804
1931-01-20,0.057309108079553236
1931-01-21,0.05714861022473147
1931-01-22,0.05713223954262785
1931-01-23,0.05667527529414507
1931-01-24,0.056564126947473176
1931-01-26,0.05706483610992188
1931-01-27,0.057174566795569495
1931-01-28,0.05747821163122692
1931-01-29,0.05742235580061628
1931-01-30,0.057118169752556784
1931-01-31,0.05721386137743854
1931-02-02,0.057560365858457765
1931-02-03,0.05699349267252754
1931-02-04,0.057634015148776044
1931-02-05,0.057094205756088076
1931-02-06,0.057441570807997916
1931-02-07,0.05728809688027066
1931-02-09,0.05738892869209622
1931-02-10,0.05767294749644512
1931-02-11,0.05733885516354461
1931-02-13,0.05664995459472023
1931-02-14,0.05654628422702341
1931-02-16,0.05682907342470895
1931-02-17,0.05631666718630816
1931-02-18,0.05627715859730989
1931-02-19,0.0564743558017268
1931-02-20,0.05579517258221418
1931-02-21,0.054345872054214386
1931-02-24,0.05364264994024526
1931-02-25,0.053237937054261136
1931-02-26,0.05344997229601029
1931-02-27,0.05321542307302348
1931-02-28,0.05307506378045033
1931-03-02,0.05340571012832208
1931-03-03,0.05349344924240925
1931-03-04,0.05340493633789578
1931-03-05,0.05341371727688919
1931-03-06,0.05320247536149485
1931-03-07,0.05315271304839853
1931-03-09,0.053373630843909406
1931-03-10,0.053138875133799564
1931-03-11,0.053154687480116355
1931-03-12,0.05340429894937398
1931-03-13,0.05359524955977623
1931-03-14,0.054223789685285025
1931-03-16,0.05407547925440594
1931-03-17,0.0535230776097967
1931-03-18,0.053475601977160475
1931-03-19,0.05337319643036743
1931-03-20,0.05280233663390574
1931-03-21,0.053274117664592266
1931-03-23,0.053307959634857786
1931-03-24,0.05334711482001692
1931-03-25,0.05368294017281494
1931-03-26,0.0533759037738169
1931-03-27,0.05326902897160094
1931-03-28,0.053885810744169274
1931-03-30,0.0539339610207479
1931-03-31,0.05449162026787896
1931-04-01,0.05479279622648601
1931-04-02,0.05429099983577185
1931-04-04,0.054178458497646076
1931-04-06,0.05413099796295
1931-04-07,0.05368745921089479
1931-04-08,0.05463837397665325
1931-04-09,0.05471202799602821
1931-04-10,0.05464515968639151
1931-04-11,0.05448269928716518
1931-04-13,0.05439992498410734
1931-04-14,0.05403980970883594
1931-04-15,0.0544438544629396
1931-04-16,0.054136146572680253
1931-04-17,0.054979496654928225
1931-04-18,0.055225386961405325
1931-04-20,0.05540892301050438
1931-04-21,0.055102035825110536
1931-04-22,0.055422591112496596
1931-04-23,0.05546791886937348
1931-04-24,0.054977199270590284
1931-04-25,0.05518065702373299
1931-04-27,0.05527748522970604
1931-04-28,0.055061047399163246
1931-04-29,0.05538984659459889
1931-04-30,0.054821871817045634
1931-05-01,0.05400445619692945
1931-05-02,0.054095072466102
1931-05-04,0.053876484428135744
1931-05-05,0.05439841321248092
1931-05-06,0.053957255114032085
1931-05-07,0.054009887626798016
1931-05-08,0.054552735899911546
1931-05-09,0.05385558538042747
1931-05-11,0.053622158148993376
1931-05-12,0.05380612999871277
1931-05-13,0.05416000546754588
1931-05-14,0.054023872946287105
1931-05-15,0.05413332257880857
1931-05-16,0.05395317699007586
1931-05-18,0.05386620923424372
1931-05-19,0.05373547067238687
1931-05-20,0.05407100383143115
1931-05-21,0.0535919201347071
1931-05-22,0.05368528008411872
1931-05-23,0.05404041462307923
1931-05-25,0.053786305037724066
1931-05-26,0.05397244657228128
1931-05-27,0.05351379822666476
1931-05-28,0.053874817832890914
1931-05-29,0.053737873777784
1931-06-01,0.05384092881710562
1931-06-02,0.05407175322013739
1931-06-03,0.05396625947239085
1931-06-04,0.0538455578796893
1931-06-05,0.053658406959127616
1931-06-06,0.053317054852401055
1931-06-08,0.05357434769226047
1931-06-09,0.05309758367364405
1931-06-10,0.05316253989434235
1931-06-11,0.05342275622791068
1931-06-12,0.05317771411486021
1931-06-13,0.053489423506358706
1931-06-15,0.05339665043174893
1931-06-16,0.05292522579185013
1931-06-17,0.052781014540191774
1931-06-18,0.05319117475125778
1931-06-19,0.05331998742147812
1931-06-20,0.05335783120865457
1931-06-22,0.0530405987787045
1931-06-23,0.05246397116168514
1931-06-24,0.051873182551267834
1931-06-25,0.05017782163589021
1931-06-26,0.05013309103615274
1931-06-27,0.048487811435481615
1931-06-29,0.04785645711770386
1931-06-30,0.04860592521083262
1931-07-01,0.04923263632129358
1931-07-02,0.04880078610331809
1931-07-03,0.049035313825471015
1931-07-06,0.048504943626201544
1931-07-07,0.04925162448482643
1931-07-08,0.05016372953491578
1931-07-09,0.05051036518348985
1931-07-10,0.050483025440657
1931-07-11,0.0498703855701144
1931-07-13,0.05010606497283858
1931-07-14,0.050604336284733833
1931-07-15,0.05077140007371405
1931-07-16,0.05100969116388892
1931-07-17,0.05072696816430265
1931-07-18,0.0504709671163211
1931-07-20,0.05028338060334342
1931-07-21,0.05019509422040269
1931-07-22,0.049768249660198105
1931-07-23,0.05001143251599374
1931-07-24,0.05026616156694679
1931-07-25,0.050500298680951
1931-07-27,0.05041781264486757
1931-07-28,0.050223368892617436
1931-07-29,0.050046877408619225
1931-07-30,0.050336395223105276
1931-07-31,0.05001887980639917
1931-08-01,0.04991022691852267
1931-08-03,0.049985927825539664
1931-08-04,0.05052737421493334
1931-08-05,0.04981626681373362
1931-08-06,0.05047436502318952
1931-08-07,0.0500043771955173
1931-08-08,0.050068716078400646
1931-08-10,0.05030060628753768
1931-08-11,0.050553808675402635
1931-08-12,0.05034641257233605
1931-08-13,0.05023239243794542
1931-08-14,0.05007189588172068
1931-08-15,0.04999856098648514
1931-08-17,0.04984274688465917
1931-08-18,0.0501057601997499
1931-08-19,0.05001684109127512
1931-08-20,0.04986031034739149
1931-08-21,0.04959606175158711
1931-08-22,0.05032488261250048
1931-08-24,0.0505136551889383
1931-08-25,0.050362076536209284
1931-08-26,0.05024742801560649
1931-08-27,0.05053713821367482
1931-08-28,0.05016204350201067
1931-08-29,0.05016256127786385
1931-08-31,0.05006045569971465
1931-09-01,0.050346588726968226
1931-09-02,0.050385507764850436
1931-09-03,0.05054945593712401
1931-09-04,0.050653414085647414
1931-09-08,0.050995251000171625
1931-09-09,0.05116180007124979
1931-09-10,0.05100589179392622
1931-09-11,0.05120873989129736
1931-09-12,0.05089267029872607
1931-09-14,0.05094567506301567
1931-09-15,0.05065849248444666
1931-09-16,0.05103571461107151
1931-09-17,0.05096718906662465
1931-09-18,0.051396551185431204
1931-09-19,0.05043434343652917
1931-09-21,0.0505538698827871
1931-09-22,0.04989343638147747
1931-09-23,0.04965805355407715
1931-09-24,0.04951970659805667
1931-09-25,0.0487242846720998
1931-09-26,0.04831548574887294
1931-09-28,0.04835105906844892
1931-09-29,0.04854864847213348
1931-09-30,0.04813097122598571
1931-10-01,0.04794117778471664
1931-10-02,0.04742504909387437
1931-10-03,0.04661456414229169
1931-10-05,0.04655616061244561
1931-10-06,0.04591606536232919
1931-10-07,0.04567921174419065
1931-10-08,0.04483910279650043
1931-10-09,0.04407222117825727
