date,RawClose
2004-02-11,42.8
2004-02-12,42.0
2004-02-13,42.1
2004-02-16,41.6
2004-02-17,42.0
2004-02-18,41.8
2004-02-19,42.4
2004-02-20,42.3
2004-02-23,42.8
2004-02-24,42.1
2004-02-25,41.5
2004-02-26,42.0
2004-02-27,41.8
2004-03-01,40.8
2004-03-02,41.0
2004-03-03,40.5
2004-03-04,41.2
2004-03-05,41.9
2004-03-08,42.6
2004-03-09,42.5
2004-03-10,41.8
2004-03-11,42.0
2004-03-12,40.8
2004-03-15,39.3
2004-03-16,38.1
2004-03-17,37.6
2004-03-18,37.6
2004-03-19,38.6
2004-03-22,35.9
2004-03-23,36.7
2004-03-24,38.2
2004-03-25,38.4
2004-03-26,37.1
2004-03-29,39.0
2004-03-30,38.2
2004-03-31,37.8
2004-04-01,37.8
2004-04-02,36.9
2004-04-05,36.8
2004-04-06,36.8
2004-04-07,35.9
2004-04-08,36.2
2004-04-09,36.0
2004-04-12,36.8
2004-04-13,38.4
2004-04-14,39.1
2004-04-15,39.2
2004-04-16,41.2
2004-04-19,41.5
2004-04-20,39.9
2004-04-21,40.8
2004-04-22,40.5
2004-04-23,40.6
2004-04-26,40.3
2004-04-27,39.7
2004-04-28,38.6
2004-04-29,37.7
2004-04-30,35.3
2004-05-03,36.0
2004-05-04,37.0
2004-05-05,36.5
2004-05-06,35.0
2004-05-07,36.1
2004-05-10,35.3
2004-05-11,35.7
2004-05-12,36.1
2004-05-13,36.1
2004-05-14,35.9
2004-05-17,35.0
2004-05-18,35.5
2004-05-19,36.4
2004-05-20,36.0
2004-05-21,36.5
2004-05-24,36.5
2004-05-25,36.4
2004-05-26,36.2
2004-05-27,36.3
2004-05-28,37.7
2004-05-31,36.4
2004-06-01,35.7
2004-06-02,35.0
2004-06-03,34.3
2004-06-04,33.7
2004-06-07,34.6
2004-06-08,34.7
2004-06-09,34.8
2004-06-10,34.2
2004-06-11,32.0
2004-06-14,31.2
2004-06-15,31.1
2004-06-16,31.3
2004-06-17,32.3
2004-06-18,32.3
2004-06-21,31.9
2004-06-23,33.0
2004-06-24,32.6
2004-06-25,32.3
2004-06-28,31.5
2004-06-29,31.7
2004-06-30,33.0
2004-07-01,32.9
2004-07-02,32.2
2004-07-05,31.4
2004-07-06,33.1
2004-07-07,33.2
2004-07-08,33.0
2004-07-09,32.5
2004-07-12,33.0
2004-07-13,33.3
2004-07-14,30.4
2004-07-15,30.5
2004-07-16,30.9
2004-07-19,30.8
2004-07-20,29.7
2004-07-21,30.5
2004-07-22,31.0
2004-07-23,30.5
2004-07-26,30.5
2004-07-27,30.7
2004-07-28,30.6
2004-07-29,30.3
2004-07-30,31.0
2004-08-02,31.0
2004-08-03,31.4
2004-08-04,31.0
2004-08-05,32.0
2004-08-06,31.4
2004-08-09,31.4
2004-08-10,31.7
2004-08-11,31.8
2004-08-12,32.3
2004-08-13,32.4
2004-08-16,31.5
2004-08-17,31.5
2004-08-18,31.3
2004-08-19,32.4
2004-08-20,32.7
2004-08-23,33.2
2004-08-26,35.4
2004-08-27,35.0
2004-08-30,35.2
2004-08-31,35.5
2004-09-01,35.2
2004-09-02,34.6
2004-09-03,34.0
2004-09-06,33.2
2004-09-07,33.4
2004-09-08,33.7
2004-09-09,34.0
2004-09-10,33.9
2004-09-13,33.7
2004-09-14,33.4
2004-09-15,33.4
2004-09-16,32.8
2004-09-17,32.3
2004-09-20,32.3
2004-09-21,32.2
2004-09-22,32.2
2004-09-23,32.1
2004-09-24,32.1
2004-09-27,32.0
2004-09-29,32.3
2004-09-30,32.5
2004-10-01,33.6
2004-10-04,34.0
2004-10-05,34.2
2004-10-06,34.5
2004-10-07,34.9
2004-10-08,34.9
2004-10-11,34.8
2004-10-12,35.0
2004-10-13,34.3
2004-10-14,33.0
2004-10-15,32.8
2004-10-18,32.1
2004-10-19,32.3
2004-10-20,31.7
2004-10-21,31.3
2004-10-22,31.2
2004-10-26,30.4
2004-10-27,30.4
2004-10-28,32.0
2004-10-29,32.3
2004-11-01,33.3
2004-11-02,33.3
2004-11-03,34.1
2004-11-04,36.4
2004-11-05,38.9
