Date,Close,granularity
2010-12-24,330.0,daily
2010-12-27,303.0,daily
2010-12-28,296.0,daily
2010-12-29,269.0,daily
2010-12-30,281.5,daily
2010-12-31,281.0,daily
2011-01-03,271.0,daily
2011-01-04,275.0,daily
2011-01-05,275.0,daily
2011-01-06,272.0,daily
2011-01-07,253.0,daily
2011-01-10,235.5,daily
2011-01-11,239.0,daily
2011-01-12,237.0,daily
2011-01-13,231.5,daily
2011-01-14,233.5,daily
2011-01-17,218.0,daily
2011-01-18,209.0,daily
2011-01-19,223.5,daily
2011-01-20,239.0,daily
2011-01-21,242.5,daily
2011-01-24,233.0,daily
2011-01-25,233.0,daily
2011-01-26,224.0,daily
2011-01-27,231.0,daily
2011-01-28,232.0,daily
2011-02-08,229.0,daily
2011-02-09,222.5,daily
2011-02-10,229.5,daily
2011-02-11,234.0,daily
2011-02-14,242.0,daily
2011-02-15,242.0,daily
2011-02-16,239.0,daily
2011-02-17,240.0,daily
2011-02-18,244.5,daily
2011-02-21,244.0,daily
2011-02-22,239.5,daily
2011-02-23,240.5,daily
2011-02-24,250.0,daily
2011-02-25,267.5,daily
2011-03-01,278.0,daily
2011-03-02,277.0,daily
2011-03-03,272.0,daily
2011-03-04,266.0,daily
2011-03-07,268.0,daily
2011-03-08,268.0,daily
2011-03-09,261.0,daily
2011-03-10,260.5,daily
2011-03-11,256.0,daily
2011-03-14,246.5,daily
2011-03-15,235.5,daily
2011-03-16,238.0,daily
2011-03-17,233.5,daily
2011-03-18,242.0,daily
2011-03-21,242.0,daily
2011-03-22,240.0,daily
2011-03-23,238.0,daily
2011-03-24,236.5,daily
2011-03-25,247.5,daily
2011-03-28,239.0,daily
2011-03-29,240.0,daily
2011-03-30,241.0,daily
2011-03-31,241.0,daily
2011-04-01,239.5,daily
2011-04-06,244.5,daily
2011-04-07,261.0,daily
2011-04-08,250.5,daily
2011-04-11,253.0,daily
2011-04-12,246.0,daily
2011-04-13,249.0,daily
2011-04-14,244.5,daily
2011-04-15,240.0,daily
2011-04-18,232.0,daily
2011-04-19,231.0,daily
2011-04-20,234.0,daily
2011-04-21,236.5,daily
2011-04-22,240.0,daily
2011-04-25,236.0,daily
2011-04-26,235.0,daily
2011-04-27,242.0,daily
2011-04-28,239.0,daily
2011-04-29,237.5,daily
2011-05-03,235.0,daily
2011-05-04,236.5,daily
2011-05-05,235.0,daily
2011-05-06,235.5,daily
2011-05-09,243.0,daily
2011-05-10,238.5,daily
2011-05-11,232.0,daily
2011-05-12,232.0,daily
2011-05-13,234.0,daily
2011-05-16,233.5,daily
2011-05-17,231.0,daily
2011-05-18,230.5,daily
2011-05-19,214.5,daily
2011-05-20,199.5,daily
2011-05-23,200.5,daily
2011-05-24,194.5,daily
2011-05-25,191.0,daily
2011-05-26,192.0,daily
2011-05-27,200.0,daily
2011-05-30,196.5,daily
2011-05-31,197.0,daily
2011-06-01,209.0,daily
2011-06-02,207.5,daily
2011-06-03,203.5,daily
2011-06-07,200.5,daily
2011-06-08,200.5,daily
2011-06-09,203.0,daily
2011-06-10,200.0,daily
2011-06-13,195.5,daily
2011-06-14,195.5,daily
2011-06-15,191.5,daily
2011-06-16,188.0,daily
2011-06-17,188.0,daily
2011-06-20,183.5,daily
2011-06-21,183.0,daily
2011-06-22,184.5,daily
2011-06-23,180.5,daily
2011-06-24,175.5,daily
2011-06-27,169.0,daily
2011-06-28,158.0,daily
2011-06-29,165.0,daily
2011-06-30,164.5,daily
2011-07-01,166.0,daily
2011-07-04,168.5,daily
2011-07-05,166.5,daily
2011-07-06,178.0,daily
2011-07-07,175.0,daily
2011-07-08,168.5,daily
2011-07-11,164.0,daily
2011-07-12,161.5,daily
2011-07-13,153.0,daily
2011-07-14,157.0,daily
2011-07-15,160.5,daily
2011-07-18,155.0,daily
2011-07-19,157.0,daily
2011-07-20,167.0,daily
2011-07-21,146.5,daily
2011-07-22,148.0,daily
2011-07-25,147.0,daily
2011-07-26,153.0,daily
2011-07-27,152.0,daily
2011-07-28,149.5,daily
2011-07-29,144.0,daily
2011-08-01,134.0,daily
2011-08-02,136.0,daily
2011-08-03,143.0,daily
2011-08-04,136.0,daily
2011-08-05,126.5,daily
2011-08-08,118.0,daily
2011-08-09,115.0,daily
2011-08-10,123.0,daily
2011-08-11,131.5,daily
2011-08-12,137.0,daily
2011-08-15,145.0,daily
2011-08-16,143.0,daily
2011-08-17,146.0,daily
2011-08-18,139.0,daily
2011-08-19,135.0,daily
2011-08-22,144.0,daily
2011-08-23,149.0,daily
2011-08-24,157.0,daily
2011-08-25,151.5,daily
2011-08-26,153.0,daily
2011-08-29,152.5,daily
2011-08-30,158.5,daily
2011-08-31,158.5,daily
2011-09-01,152.5,daily
2011-09-02,152.5,daily
2011-09-05,152.5,daily
2011-09-06,144.0,daily
2011-09-07,153.0,daily
2011-09-08,154.5,daily
2011-09-09,159.0,daily
2011-09-13,155.0,daily
2011-09-14,150.5,daily
2011-09-15,160.0,daily
2011-09-16,165.0,daily
2011-09-19,168.0,daily
2011-09-20,169.0,daily
2011-09-21,165.5,daily
2011-09-22,165.0,daily
2011-09-23,154.0,daily
2011-09-26,143.5,daily
2011-09-27,153.5,daily
2011-09-28,154.0,daily
2011-09-29,152.0,daily
2011-09-30,162.5,daily
2011-10-03,155.0,daily
2011-10-04,159.0,daily
2011-10-05,154.5,daily
2011-10-06,155.0,daily
2011-10-07,157.0,daily
2011-10-11,158.5,daily
2011-10-12,159.5,daily
2011-10-13,168.0,daily
2011-10-14,178.0,daily
2011-10-17,178.0,daily
2011-10-18,180.0,daily
2011-10-19,174.5,daily
2011-10-20,175.5,daily
2011-10-21,177.0,daily
2011-10-24,179.0,daily
2011-10-25,185.0,daily
2011-10-26,183.5,daily
2011-10-27,180.5,daily
2011-10-28,174.5,daily
2011-10-31,176.0,daily
2011-11-01,175.5,daily
2011-11-02,177.0,daily
2011-11-03,169.0,daily
2011-11-04,180.5,daily
2011-11-07,179.5,daily
2011-11-08,178.0,daily
2011-11-09,183.5,daily
2011-11-10,180.0,daily
2011-11-11,176.0,daily
2011-11-14,176.0,daily
2011-11-15,176.0,daily
2011-11-16,175.0,daily
2011-11-17,174.0,daily
2011-11-18,170.5,daily
2011-11-21,159.0,daily
2011-11-22,154.0,daily
2011-11-23,155.5,daily
2011-11-24,155.5,daily
2011-11-25,147.0,daily
2011-11-28,155.5,daily
2011-11-29,160.0,daily
2011-11-30,157.0,daily
2011-12-01,164.0,daily
2011-12-02,160.0,daily
2011-12-05,154.0,daily
2011-12-06,153.0,daily
2011-12-07,151.5,daily
2011-12-08,141.5,daily
2011-12-09,139.0,daily
2011-12-12,146.0,daily
2011-12-13,148.0,daily
2011-12-14,149.5,daily
2011-12-15,147.0,daily
2011-12-16,151.0,daily
2011-12-19,144.5,daily
2011-12-20,146.0,daily
2011-12-21,156.0,daily
2011-12-22,156.5,daily
2011-12-23,160.0,daily
2011-12-26,158.0,daily
2011-12-27,156.5,daily
2011-12-28,153.5,daily
2011-12-29,154.5,daily
2011-12-30,158.0,daily
2012-01-02,157.0,daily
2012-01-03,160.0,daily
2012-01-04,161.5,daily
2012-01-05,163.0,daily
2012-01-06,162.5,daily
2012-01-09,160.5,daily
2012-01-10,164.5,daily
