Date,Close,granularity
2006-06-30,32.25,monthend
2006-07-31,34.0,monthend
2006-08-31,34.0,monthend
2006-09-29,31.9,monthend
2006-10-31,33.35,monthend
2006-11-30,38.15,monthend
2006-12-29,39.1,monthend
2007-01-31,36.35,monthend
2007-02-27,37.3,monthend
2007-03-30,37.2,monthend
2007-04-30,37.55,monthend
2007-05-31,41.15,monthend
2007-06-29,41.55,monthend
2007-07-31,40.7,monthend
2007-08-31,25.7,monthend
2007-09-28,32.95,monthend
2007-10-31,30.8,monthend
2007-11-30,27.5,monthend
2007-12-31,25.7,monthend
2008-01-31,26.7,monthend
2008-02-29,27.5,monthend
2008-03-31,26.95,monthend
2008-04-30,26.85,monthend
2008-05-30,20.7,monthend
2008-06-30,17.8,monthend
2008-07-31,13.95,monthend
2008-08-29,12.25,monthend
2008-09-30,9.44,monthend
2008-10-31,7.93,monthend
2008-11-28,6.96,monthend
2008-12-31,8.06,monthend
2009-01-21,10.2,monthend
2009-02-27,12.0,monthend
2009-03-31,13.45,monthend
2009-04-30,17.4,monthend
2009-05-27,17.05,monthend
2009-06-30,14.15,monthend
2009-07-31,17.1,monthend
2009-08-31,18.5,monthend
2009-09-30,20.65,monthend
2009-10-30,19.7,monthend
2009-11-30,19.25,monthend
2009-12-31,26.95,monthend
2010-01-04,26.3,daily
2010-01-05,26.8,daily
2010-01-06,28.2,daily
2010-01-07,27.65,daily
2010-01-08,27.45,daily
2010-01-11,27.3,daily
2010-01-12,27.7,daily
2010-01-13,27.05,daily
2010-01-14,27.25,daily
2010-01-15,28.2,daily
2010-01-18,27.6,daily
2010-01-19,25.85,daily
2010-01-20,25.9,daily
2010-01-21,24.6,daily
2010-01-22,24.85,daily
2010-01-25,24.35,daily
2010-01-26,23.2,daily
2010-01-27,23.45,daily
2010-01-28,23.6,daily
2010-01-29,23.05,daily
2010-02-01,23.0,daily
2010-02-02,22.5,daily
2010-02-03,22.8,daily
2010-02-04,23.15,daily
2010-02-05,21.55,daily
2010-02-06,20.85,daily
2010-02-08,21.0,daily
2010-02-09,21.7,daily
2010-02-10,22.85,daily
2010-02-22,23.2,daily
2010-02-23,23.0,daily
2010-02-24,22.9,daily
2010-02-25,22.15,daily
2010-02-26,22.05,daily
2010-03-01,23.55,daily
2010-03-02,23.65,daily
2010-03-03,23.4,daily
2010-03-04,23.3,daily
2010-03-05,23.5,daily
2010-03-08,24.55,daily
2010-03-09,24.35,daily
2010-03-10,24.65,daily
2010-03-11,24.85,daily
2010-03-12,24.75,daily
2010-03-15,24.2,daily
2010-03-16,25.1,daily
2010-03-17,25.2,daily
2010-03-18,25.95,daily
2010-03-19,25.65,daily
2010-03-22,25.1,daily
2010-03-23,25.4,daily
2010-03-24,25.0,daily
2010-03-25,25.45,daily
2010-03-26,25.35,daily
2010-03-29,25.4,daily
2010-03-30,25.7,daily
2010-03-31,25.6,daily
2010-04-01,26.0,daily
2010-04-02,25.7,daily
2010-04-06,25.8,daily
2010-04-07,25.35,daily
2010-04-08,24.75,daily
2010-04-09,24.3,daily
2010-04-12,25.1,daily
2010-04-13,24.4,daily
2010-04-14,23.8,daily
2010-04-15,23.6,daily
2010-04-16,22.9,daily
2010-04-19,22.1,daily
2010-04-20,22.25,daily
2010-04-21,23.2,daily
2010-04-22,23.65,daily
2010-04-23,23.5,daily
2010-04-26,23.4,daily
2010-04-27,22.7,daily
2010-04-28,22.8,daily
2010-04-29,22.4,daily
2010-04-30,22.35,daily
2010-05-03,21.95,daily
2010-05-04,21.95,daily
2010-05-05,20.7,daily
2010-05-06,20.3,daily
2010-05-07,20.35,daily
2010-05-10,21.75,daily
2010-05-11,21.6,daily
2010-05-12,21.2,daily
2010-05-13,21.95,daily
2010-05-14,21.75,daily
2010-05-17,20.3,daily
2010-05-18,19.2,daily
2010-05-19,17.9,daily
2010-05-20,18.1,daily
2010-05-21,17.75,daily
2010-05-24,18.5,daily
2010-05-25,18.2,daily
2010-05-26,18.65,daily
2010-05-27,19.15,daily
2010-05-28,18.9,daily
2010-05-31,19.15,daily
2010-06-01,18.65,daily
2010-06-02,18.6,daily
2010-06-03,19.15,daily
2010-06-04,19.25,daily
2010-06-07,19.2,daily
2010-06-08,19.05,daily
2010-06-09,18.8,daily
2010-06-10,18.9,daily
2010-06-11,19.2,daily
2010-06-14,19.1,daily
2010-06-15,19.45,daily
2010-06-17,20.45,daily
2010-06-18,20.45,daily
2010-06-21,20.7,daily
2010-06-22,20.35,daily
2010-06-23,20.3,daily
2010-06-24,20.2,daily
2010-06-25,19.8,daily
2010-06-28,19.95,daily
2010-06-29,18.95,daily
2010-06-30,18.05,daily
2010-07-01,17.7,daily
2010-07-02,17.9,daily
2010-07-05,18.3,daily
2010-07-06,18.25,daily
2010-07-07,18.2,daily
2010-07-08,18.7,daily
2010-07-09,18.45,daily
2010-07-12,18.5,daily
2010-07-13,18.25,daily
2010-07-14,18.4,daily
2010-07-15,18.3,daily
2010-07-16,17.9,daily
2010-07-19,18.0,daily
2010-07-20,18.3,daily
2010-07-21,18.2,daily
2010-07-22,17.6,daily
2010-07-23,17.4,daily
2010-07-26,17.05,daily
2010-07-27,16.8,daily
2010-07-28,17.25,daily
2010-07-29,17.05,daily
2010-07-30,16.9,daily
2010-08-02,17.05,daily
2010-08-03,17.1,daily
2010-08-04,16.85,daily
2010-08-05,17.15,daily
2010-08-06,17.2,daily
2010-08-09,17.5,daily
2010-08-10,17.25,daily
2010-08-11,17.85,daily
2010-08-12,17.6,daily
2010-08-13,18.2,daily
2010-08-16,17.9,daily
2010-08-17,17.6,daily
2010-08-18,17.5,daily
2010-08-19,17.6,daily
2010-08-20,17.5,daily
2010-08-23,17.15,daily
2010-08-24,17.2,daily
2010-08-25,16.6,daily
2010-08-26,16.45,daily
2010-08-27,16.2,daily
2010-08-30,16.1,daily
2010-08-31,15.45,daily
2010-09-01,15.5,daily
2010-09-02,15.65,daily
2010-09-03,16.7,daily
2010-09-06,17.5,daily
2010-09-07,16.75,daily
2010-09-08,16.2,daily
2010-09-09,16.15,daily
2010-09-10,16.7,daily
2010-09-13,17.0,daily
2010-09-14,16.9,daily
2010-09-15,16.75,daily
2010-09-16,16.45,daily
2010-09-17,16.25,daily
2010-09-20,15.8,daily
2010-09-21,16.1,daily
2010-09-23,16.15,daily
2010-09-24,16.2,daily
2010-09-27,16.6,daily
2010-09-28,16.4,daily
2010-09-29,17.25,daily
2010-09-30,17.5,daily
2010-10-01,17.4,daily
2010-10-04,16.4,daily
2010-10-05,16.35,daily
2010-10-06,16.2,daily
2010-10-07,16.45,daily
2010-10-08,16.3,daily
2010-10-11,16.0,daily
2010-10-12,15.9,daily
2010-10-13,15.9,daily
2010-10-14,15.85,daily
2010-10-15,15.4,daily
2010-10-18,15.05,daily
2010-10-19,15.1,daily
2010-10-20,15.4,daily
2010-10-21,15.0,daily
2010-10-22,14.65,daily
2010-10-25,14.85,daily
2010-10-26,14.9,daily
2010-10-27,14.9,daily
2010-10-28,15.15,daily
2010-10-29,15.0,daily
2010-11-01,14.6,daily
2010-11-02,13.95,daily
2010-11-03,13.8,daily
2010-11-04,14.4,daily
2010-11-05,14.35,daily
2010-11-08,14.1,daily
2010-11-09,14.15,daily
2010-11-10,14.2,daily
2010-11-11,14.05,daily
2010-11-12,13.8,daily
2010-11-15,13.65,daily
2010-11-16,12.95,daily
2010-11-17,12.8,daily
2010-11-18,12.8,daily
2010-11-19,12.95,daily
2010-11-22,13.1,daily
2010-11-23,13.6,daily
2010-11-24,13.7,daily
2010-11-25,13.9,daily
2010-11-26,13.5,daily
2010-11-29,13.35,daily
2010-11-30,13.35,daily
2010-12-01,13.45,daily
2010-12-02,13.5,daily
2010-12-03,14.4,daily
2010-12-06,14.15,daily
2010-12-07,14.3,daily
2010-12-08,13.8,daily
2010-12-09,14.05,daily
2010-12-10,14.75,daily
2010-12-13,14.55,daily
