Date,Close,granularity
2006-06-30,35.95,monthend
2006-07-31,37.3,monthend
2006-08-31,39.0,monthend
2006-09-29,36.6,monthend
2006-10-31,34.4,monthend
2006-11-30,34.35,monthend
2006-12-29,33.0,monthend
2007-01-31,32.1,monthend
2007-02-27,33.4,monthend
2007-03-30,34.5,monthend
2007-04-30,37.55,monthend
2007-05-31,37.05,monthend
2007-06-29,39.0,monthend
2007-07-31,36.75,monthend
2007-08-31,45.5,monthend
2007-09-28,37.9,monthend
2007-10-31,46.5,monthend
2007-11-30,43.3,monthend
2007-12-31,45.5,monthend
2008-01-31,37.3,monthend
2008-02-29,41.9,monthend
2008-03-31,40.0,monthend
2008-04-30,42.75,monthend
2008-05-30,41.45,monthend
2008-06-30,35.05,monthend
2008-07-31,26.05,monthend
2008-08-29,26.75,monthend
2008-09-30,20.55,monthend
2008-10-31,12.1,monthend
2008-11-28,9.73,monthend
2008-12-31,10.8,monthend
2009-01-21,10.1,monthend
2009-02-27,11.3,monthend
2009-03-31,13.55,monthend
2009-04-30,16.45,monthend
2009-05-27,19.0,monthend
2009-06-30,17.3,monthend
2009-07-31,18.35,monthend
2009-08-31,16.15,monthend
2009-09-30,16.9,monthend
2009-10-30,16.6,monthend
2009-11-30,20.7,monthend
2009-12-31,22.5,monthend
2010-01-04,24.05,daily
2010-01-05,23.8,daily
2010-01-06,25.45,daily
2010-01-07,25.45,daily
2010-01-08,26.5,daily
2010-01-11,27.0,daily
2010-01-12,26.7,daily
2010-01-13,25.75,daily
2010-01-14,26.25,daily
2010-01-15,26.9,daily
2010-01-18,27.1,daily
2010-01-19,26.0,daily
2010-01-20,26.0,daily
2010-01-21,25.4,daily
2010-01-22,25.7,daily
2010-01-25,25.5,daily
2010-01-26,24.0,daily
2010-01-27,23.7,daily
2010-01-28,25.35,daily
2010-01-29,25.05,daily
2010-02-01,24.4,daily
2010-02-02,24.0,daily
2010-02-03,24.3,daily
2010-02-04,24.2,daily
2010-02-05,22.7,daily
2010-02-06,23.2,daily
2010-02-08,24.0,daily
2010-02-09,24.05,daily
2010-02-10,24.05,daily
2010-02-22,24.3,daily
2010-02-23,23.9,daily
2010-02-24,23.15,daily
2010-02-25,22.2,daily
2010-02-26,22.0,daily
2010-03-01,23.0,daily
2010-03-02,22.7,daily
2010-03-03,22.15,daily
2010-03-04,21.95,daily
2010-03-05,22.85,daily
